ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
MSFT,2024-08-03,2024-08-08,383.9784,419.5968,0.092761,0.9391,False
AMZN,2024-08-03,2024-08-08,154.21,182.5,0.183451,0.8337,False
TSLA,2024-08-03,2024-08-08,185.22,219.8,0.186697,0.7334,False
GOOGL,2024-08-06,2024-08-11,158.2053,168.3333,0.064018,0.9163,False
AAPL,2024-08-06,2024-08-11,203.7244,216.5651,0.06303,0.9074,False
JPM,2024-08-07,2024-08-12,196.1839,207.4434,0.057393,0.7936,False
META,2024-08-14,2024-08-19,525.025,491.2502,-0.05,0.8392,True
GOOGL,2024-09-04,2024-09-09,155.5542,164.9871,0.060641,0.7618,False
MSFT,2024-09-07,2024-09-12,402.5315,408.3436,0.014439,0.7304,False
META,2024-09-07,2024-09-12,503.2509,515.2416,0.023826,0.7666,False
JPM,2024-09-11,2024-09-16,197.8613,212.3695,0.073325,0.6512,False
GOOGL,2024-09-11,2024-09-16,149.0593,156.2492,0.048236,0.9558,False
MSFT,2024-09-14,2024-09-19,425.6215,397.0556,-0.05,0.7389,True
AAPL,2024-09-17,2024-09-22,214.342,219.4683,0.023916,0.85,False
AMZN,2024-09-18,2024-09-23,186.45,179.55,-0.037007,0.74,False
META,2024-09-18,2024-09-23,534.4926,501.8888,-0.05,0.6625,True
TSLA,2024-09-20,2024-09-25,241.52,229.81,-0.048485,0.8734,False
META,2024-09-25,2024-09-30,561.3431,533.7463,-0.049162,0.9058,False
AMZN,2024-09-25,2024-09-30,193.75,186.88,-0.035458,0.904,False
TSLA,2024-09-27,2024-10-02,257.38,243.92,-0.05,0.7797,True
AAPL,2024-10-01,2024-10-06,228.0221,224.9921,-0.013289,0.9082,False
GOOGL,2024-10-02,2024-10-07,165.4645,161.3582,-0.024817,0.7161,False
META,2024-10-05,2024-10-10,595.3491,564.6373,-0.05,0.8389,True
AMZN,2024-10-08,2024-10-13,181.92,186.33,0.024241,0.7783,False
MSFT,2024-10-08,2024-10-13,406.1492,425.325,0.047214,0.8562,False
JPM,2024-10-10,2024-10-15,208.3461,199.8278,-0.040885,0.6869,False
TSLA,2024-10-12,2024-10-17,220.13,250.08,0.136056,0.873,False
AAPL,2024-10-16,2024-10-21,230.0886,224.2966,-0.025173,0.8292,False
